Team,HS,AS,OS,HST,AST,OST,HSC,ASC,OSC,HSTC,ASTC,OSTC,HG,AG,OG,HGC,AGC,OGC,HGD,AGD,OGD,HTSR,ATSR,OTSR,HTSTR,ATSTR,OTSTR,HC,AC,OC,HCC,ACC,OCC,PTS.O,PTS.H,PTS.A,NHOME,NAWAY,NALL,AWRatio,ADRatio,HWRatio,HDRatio,OWRatio,ODRatio,PTR.O,PTR.H,PTR.A
Bayern Munich,21.87,15.47,37.33,9.93,5.4,15.33,5.8,7.4,13.2,2.4,2.4,4.8,3.13,1.67,4.8,0.4,0.53,0.93,2.73,1.13,3.87,0.78,0.67,1.44,0.8,0.67,1.47,8.2,5.4,13.6,1.8,2.93,4.73,78,42,36,15,15,15,0.73,0.2,0.93,0,1.67,0.2,0.87,0.93,0.8
Augsburg,15.93,11.13,27.07,4.93,4.13,9.07,14.2,17.8,32,4.93,6.2,11.13,1.13,1.4,2.53,1.6,1.6,3.2,-0.47,-0.2,-0.67,0.51,0.38,0.89,0.49,0.41,0.9,4.47,3.4,7.87,4.6,6.47,11.07,33,14,19,15,15,15,0.33,0.27,0.2,0.33,0.53,0.6,0.37,0.31,0.42
Darmstadt,9.47,10.8,20.27,3.2,3.8,7,12.8,16.8,29.6,4.53,4.73,9.27,0.93,1.33,2.27,1.67,1.27,2.93,-0.73,0.07,-0.67,0.42,0.39,0.82,0.41,0.46,0.87,3.4,3.47,6.87,5.07,6.73,11.8,35,12,23,15,15,15,0.4,0.33,0.13,0.4,0.53,0.73,0.39,0.27,0.51
Dortmund,17.47,13.67,31.13,7.4,5,12.4,6.53,9.67,16.2,2.53,3.87,6.4,2.8,2,4.8,0.73,1.27,2,2.07,0.73,2.8,0.73,0.59,1.32,0.74,0.57,1.31,7,4.53,11.53,2.67,3.8,6.47,71,41,30,15,15,15,0.6,0.2,0.87,0.13,1.47,0.33,0.79,0.91,0.67
Leverkusen,15.27,13,28.27,5.33,5.13,10.47,8.2,11.67,19.87,3.4,4.67,8.07,1.73,1.4,3.13,0.93,1.27,2.2,0.8,0.13,0.93,0.64,0.53,1.18,0.62,0.52,1.15,7.33,6.13,13.47,4.27,3.73,8,51,27,24,15,15,15,0.47,0.2,0.53,0.2,1,0.4,0.57,0.6,0.53
Mainz,12.67,9.87,22.53,4.8,3.73,8.53,13.2,15.67,28.87,4.6,5.33,9.93,1.53,1.27,2.8,1.2,1.4,2.6,0.33,-0.13,0.2,0.48,0.39,0.87,0.53,0.39,0.92,4.93,3.47,8.4,4.87,5.67,10.53,45,26,19,15,15,15,0.33,0.27,0.53,0.13,0.87,0.4,0.5,0.58,0.42
Werder Bremen,14.07,11.87,25.93,4.6,3.93,8.53,11.47,15.27,26.73,4.27,6.13,10.4,1.33,1.47,2.8,1.87,2.2,4.07,-0.53,-0.73,-1.27,0.55,0.44,0.98,0.49,0.41,0.9,4.87,3.67,8.53,4.13,6.6,10.73,31,14,17,15,15,15,0.33,0.13,0.2,0.33,0.53,0.47,0.34,0.31,0.38
Stuttgart,17.67,12.73,30.4,6.27,5.33,11.6,11.47,15,26.47,5.4,6.07,11.47,1.4,1.67,3.07,1.73,2.27,4,-0.33,-0.6,-0.93,0.6,0.47,1.07,0.52,0.46,0.98,7.87,5.53,13.4,3.6,4.33,7.93,33,19,14,15,15,15,0.2,0.33,0.4,0.07,0.6,0.4,0.37,0.42,0.31
Wolfsburg,15,14.07,29.07,6.13,5.2,11.33,11.33,11.33,22.67,4,4.8,8.8,1.93,0.87,2.8,0.93,1.8,2.73,1,-0.93,0.07,0.56,0.55,1.11,0.61,0.5,1.11,5.93,3.73,9.67,4.47,3.67,8.13,39,29,10,15,15,15,0.13,0.27,0.53,0.33,0.67,0.6,0.43,0.64,0.22
Hertha,10.6,8.4,19,4.47,3.27,7.73,10.07,15.47,25.53,3.27,5.07,8.33,1.53,1.13,2.67,0.73,1.67,2.4,0.8,-0.53,0.27,0.5,0.35,0.85,0.55,0.4,0.95,4.73,3.67,8.4,3.6,5.8,9.4,49,32,17,15,15,15,0.33,0.13,0.6,0.33,0.93,0.47,0.54,0.71,0.38
Ein Frankfurt,12.47,10.07,22.53,4.07,4.07,8.13,12.87,12.8,25.67,5.47,5.6,11.07,1.27,0.67,1.93,1.53,1.73,3.27,-0.27,-1.07,-1.33,0.49,0.44,0.93,0.44,0.43,0.87,5.73,3.67,9.4,3.87,4.47,8.33,27,18,9,15,15,15,0.13,0.2,0.27,0.4,0.4,0.6,0.3,0.4,0.2
FC Koln,13.47,11.73,25.2,5.2,4.47,9.67,12.93,15.93,28.87,4.6,5.93,10.53,0.8,1.33,2.13,1.13,1.47,2.6,-0.33,-0.13,-0.47,0.51,0.43,0.95,0.54,0.45,0.99,5.33,4.33,9.67,5.2,6.13,11.33,37,16,21,15,15,15,0.33,0.4,0.27,0.27,0.6,0.67,0.41,0.36,0.47
Hamburg,12.47,9.93,22.4,4.27,3.67,7.93,12.07,15.27,27.33,4.67,5.2,9.87,1.2,1.13,2.33,1.4,1.47,2.87,-0.2,-0.33,-0.53,0.51,0.4,0.91,0.46,0.44,0.9,3.6,3.87,7.47,5.2,5.87,11.07,34,16,18,15,15,15,0.33,0.2,0.27,0.27,0.6,0.47,0.38,0.36,0.4
Hannover,10.07,10.6,20.67,3.87,3.53,7.4,13.6,16.67,30.27,5.8,6.6,12.4,0.87,0.87,1.73,1.8,1.8,3.6,-0.93,-0.93,-1.87,0.43,0.38,0.81,0.41,0.33,0.75,4.13,4.33,8.47,4.2,8.2,12.4,21,9,12,15,15,15,0.2,0.2,0.2,0,0.4,0.2,0.23,0.2,0.27
Hoffenheim,11.47,10.27,21.73,4,3.47,7.47,14.27,16.8,31.07,5.13,6.27,11.4,1.27,1.07,2.33,1.33,1.67,3,-0.07,-0.6,-0.67,0.44,0.42,0.86,0.45,0.36,0.81,4.33,3.67,8,5.33,6.87,12.2,34,21,13,15,15,15,0.2,0.27,0.33,0.4,0.53,0.67,0.38,0.47,0.29
Schalke 04,16.73,11.6,28.33,5.07,3.93,9,14.33,14.67,29,4.47,5.67,10.13,1.67,1.07,2.73,1.33,1.53,2.87,0.33,-0.47,-0.13,0.53,0.45,0.98,0.54,0.41,0.95,5.07,4.93,10,5.47,5,10.47,45,28,17,15,15,15,0.33,0.13,0.53,0.27,0.87,0.4,0.5,0.62,0.38
Ingolstadt,12.87,11.2,24.07,3.53,3.67,7.2,10,11.33,21.33,3,3.87,6.87,1.27,0.53,1.8,0.93,1.27,2.2,0.33,-0.73,-0.4,0.55,0.5,1.06,0.54,0.49,1.03,4.47,3.93,8.4,3.6,4.67,8.27,39,25,14,15,15,15,0.2,0.33,0.47,0.27,0.67,0.6,0.43,0.56,0.31
M'gladbach,14.87,10.93,25.8,6.47,4.8,11.27,12.2,14.87,27.07,4.07,5.13,9.2,2.47,1.47,3.93,1.07,2.07,3.13,1.4,-0.6,0.8,0.55,0.42,0.98,0.61,0.48,1.08,3.93,3.87,7.8,3.67,4.4,8.07,45,34,11,15,15,15,0.2,0.13,0.73,0.07,0.93,0.2,0.5,0.76,0.24
